Segment Description,Facebook,Instagram,Linkedin,Snapchat
Christian,16.904761904761905,29.28571428571429,4.761904761904762,49.047619047619044
Jewish,35.16483516483517,13.186813186813188,5.4945054945054945,46.15384615384615
Muslim,11.76470588235294,17.647058823529413,5.88235294117647,64.70588235294117
None/Other,17.846153846153847,22.76923076923077,4.3076923076923075,55.07692307692308
